ngram,f,a,m,sd
title :,42,19,2.210526315789474,1.2388002416778756
: the,54,18,3.0,3.2145502536643185
the enigmatic,5,5,1.0,0.0
enigmatic evolution,1,1,1.0,0.0
evolution of,4,4,1.0,0.0
of exoworlds,4,1,4.0,0.0
exoworlds inc.,70,1,70.0,0.0
inc. :,1,1,1.0,0.0
: a,12,9,1.3333333333333333,0.6666666666666666
a pioneer,2,2,1.0,0.0
pioneer in,2,2,1.0,0.0
in interstellar,5,3,1.6666666666666667,0.4714045207910317
interstellar colonization,4,2,2.0,1.0
colonization in,1,1,1.0,0.0
in the,120,19,6.315789473684211,2.7539948319897114
the year,7,6,1.1666666666666667,0.37267799624996495
year 2035,1,1,1.0,0.0
"2035 ,",1,1,1.0,0.0
", visionary",2,2,1.0,0.0
visionary entrepreneur,2,2,1.0,0.0
entrepreneur dr.,1,1,1.0,0.0
dr. luna,5,2,2.5,0.5
luna sterling,3,1,3.0,0.0
sterling founded,1,1,1.0,0.0
founded exoworlds,1,1,1.0,0.0
"inc. ,",6,1,6.0,0.0
", a",31,11,2.8181818181818183,1.4658650451451907
a company,1,1,1.0,0.0
company destined,1,1,1.0,0.0
destined to,2,1,2.0,0.0
to revolutionize,12,7,1.7142857142857142,1.1605769149479943
revolutionize humanity,2,2,1.0,0.0
humanity 's,55,10,5.5,6.391400472509918
's place,3,3,1.0,0.0
place among,3,2,1.5,0.5
among the,24,7,3.4285714285714284,2.920721185751553
the stars,25,5,5.0,5.019960159204453
stars .,10,3,3.3333333333333335,2.0548046676563256
. with,59,18,3.2777777777777777,3.8413764251250058
with an,10,7,1.4285714285714286,0.4948716593053935
an ambitious,8,6,1.3333333333333333,0.74535599249993
ambitious and,1,1,1.0,0.0
and pioneering,3,3,1.0,0.0
pioneering spirit,8,4,2.0,1.7320508075688772
"spirit ,",4,4,1.0,0.0
", she",5,3,1.6666666666666667,0.9428090415820634
she set,1,1,1.0,0.0
set her,1,1,1.0,0.0
her sights,1,1,1.0,0.0
sights on,3,3,1.0,0.0
on developing,3,3,1.0,0.0
developing technologies,1,1,1.0,0.0
technologies capable,3,3,1.0,0.0
capable of,40,17,2.3529411764705883,2.273664481186787
of sustaining,3,2,1.5,0.5
sustaining life,1,1,1.0,0.0
life beyond,3,3,1.0,0.0
beyond earth,6,4,1.5,0.8660254037844386
earth –,6,2,3.0,1.0
– forever,6,3,2.0,0.816496580927726
forever changing,2,2,1.0,0.0
changing our,1,1,1.0,0.0
our cosmic,1,1,1.0,0.0
cosmic perspective,1,1,1.0,0.0
perspective .,1,1,1.0,0.0
. exoworlds,2,1,2.0,0.0
inc. 's,52,1,52.0,0.0
's early,2,2,1.0,0.0
early years,1,1,1.0,0.0
years were,1,1,1.0,0.0
were filled,2,1,2.0,0.0
filled with,9,4,2.25,0.82915619758885
with challenges,1,1,1.0,0.0
challenges :,2,2,1.0,0.0
: skepticism,1,1,1.0,0.0
skepticism from,1,1,1.0,0.0
from critics,1,1,1.0,0.0
"critics ,",1,1,1.0,0.0
", funding",1,1,1.0,0.0
funding difficulties,1,1,1.0,0.0
"difficulties ,",1,1,1.0,0.0
", and",334,19,17.57894736842105,7.761685855084538
and the,31,15,2.066666666666667,1.3399834161494522
the daunting,1,1,1.0,0.0
daunting task,1,1,1.0,0.0
task of,2,2,1.0,0.0
of assembling,1,1,1.0,0.0
assembling a,1,1,1.0,0.0
a team,6,4,1.5,0.5
team of,10,6,1.6666666666666667,1.1055415967851332
of brilliant,2,2,1.0,0.0
brilliant minds,2,2,1.0,0.0
minds dedicated,1,1,1.0,0.0
dedicated to,20,8,2.5,1.5
to achebouring,1,1,1.0,0.0
achebouring new,1,1,1.0,0.0
new frontiers,9,5,1.8,0.7483314773547883
frontiers in,7,4,1.75,0.4330127018922193
in space,16,4,4.0,2.23606797749979
space exploration,16,6,2.6666666666666665,1.247219128924647
exploration .,7,6,1.1666666666666667,0.3726779962499649
. dr.,13,5,2.6,0.8
dr. sterling,5,1,5.0,0.0
sterling 's,3,1,3.0,0.0
's unwavering,6,3,2.0,1.4142135623730951
unwavering determination,3,2,1.5,0.5
determination led,1,1,1.0,0.0
led her,1,1,1.0,0.0
her to,2,2,1.0,0.0
to successfully,1,1,1.0,0.0
successfully secure,1,1,1.0,0.0
secure private,1,1,1.0,0.0
private investors,1,1,1.0,0.0
investors who,2,2,1.0,0.0
who shared,2,2,1.0,0.0
shared her,1,1,1.0,0.0
her vision,1,1,1.0,0.0
vision for,4,2,2.0,0.0
for humanity,11,5,2.2,1.9390719429665317
's interstellar,2,1,2.0,0.0
interstellar future,2,1,2.0,0.0
future .,21,14,1.5,0.9063269671749657
. the,347,18,19.27777777777778,8.081567199192353
the company,25,2,12.5,6.5
company 's,6,2,3.0,2.0
's first,4,3,1.3333333333333333,0.4714045207910317
first major,1,1,1.0,0.0
major breakthrough,1,1,1.0,0.0
breakthrough came,1,1,1.0,0.0
came in,1,1,1.0,0.0
the form,4,3,1.3333333333333333,0.4714045207910317
form of,9,5,1.8,1.1661903789690602
of a,23,12,1.9166666666666667,0.8620067027323833
a novel,1,1,1.0,0.0
novel propulsion,1,1,1.0,0.0
propulsion system,2,2,1.0,0.0
"system ,",6,4,1.5,0.5
", dubbed",1,1,1.0,0.0
dubbed ``,3,3,1.0,0.0
`` quantum,2,2,1.0,0.0
quantum drives,5,1,5.0,0.0
"drives ,",2,1,2.0,0.0
", ''",15,8,1.875,1.5360257159305635
'' which,4,4,1.0,0.0
which leveraged,1,1,1.0,0.0
leveraged quantum,1,1,1.0,0.0
quantum entanglement,4,2,2.0,1.0
entanglement principles,1,1,1.0,0.0
principles to,2,2,1.0,0.0
to enable,2,2,1.0,0.0
enable faster-than-light,1,1,1.0,0.0
faster-than-light travel,1,1,1.0,0.0
travel between,4,4,1.0,0.0
between celestial,1,1,1.0,0.0
celestial bodies,11,6,1.8333333333333333,1.462494064565354
bodies within,3,2,1.5,0.5
within our,22,12,1.8333333333333333,0.8975274678557508
our own,8,5,1.6,0.8
own solar,2,2,1.0,0.0
solar system,29,5,5.8,3.0594117081556713
system and,3,2,1.5,0.5
and beyond,15,9,1.6666666666666667,0.816496580927726
beyond .,6,3,2.0,0.816496580927726
. this,131,19,6.894736842105263,3.7119258278958855
this revolutionary,4,4,1.0,0.0
revolutionary technology,2,2,1.0,0.0
technology allowed,1,1,1.0,0.0
allowed exoworlds,1,1,1.0,0.0
's spacecraft,1,1,1.0,0.0
spacecraft to,1,1,1.0,0.0
to cover,1,1,1.0,0.0
cover vast,1,1,1.0,0.0
vast distances,5,3,1.6666666666666667,0.4714045207910317
distances in,1,1,1.0,0.0
in mere,1,1,1.0,0.0
mere hours,1,1,1.0,0.0
hours or,1,1,1.0,0.0
or days,1,1,1.0,0.0
days rather,1,1,1.0,0.0
rather than,8,7,1.1428571428571428,0.3499271061118826
than months,1,1,1.0,0.0
"months ,",1,1,1.0,0.0
", as",31,14,2.2142857142857144,1.0809104250301111
as had,1,1,1.0,0.0
had previously,2,2,1.0,0.0
previously been,2,2,1.0,0.0
been the,1,1,1.0,0.0
the case,1,1,1.0,0.0
case with,1,1,1.0,0.0
with conventional,1,1,1.0,0.0
conventional propulsion,1,1,1.0,0.0
propulsion methods,1,1,1.0,0.0
methods .,7,5,1.4,0.8
